"","eukprok","mag","Domain","Clade","Kingdom","Supergroup","Phylum","Class","Order","Family","Genus","Species","community","degree","MAG","classification"
"1","euk","Cluster_118","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Insecta","-","-",".","-",1,22,"SPO-all-SRF-20-180-00_bin-243","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Insecta;-;-;.;-"
"2","euk","Cluster_118","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Insecta","-","-",".","-",1,22,"SPO-SPSG-SRF-20-180-00_bin-115","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Insecta;-;-;.;-"
"3","euk","Cluster_148","Eukaryota","Prymnesiophyceae",".","Hacrobia","Haptista","Haptophyta","Prymnesiales","Prymnesiaceae","Chrysochromulina","Chrysochromulina rotalis",7,51,"SPO-all-SRF-0-8-5-00_bin-234","Eukaryota;Prymnesiophyceae;.;Hacrobia;Haptista;Haptophyta;Prymnesiales;Prymnesiaceae;Chrysochromulina;Chrysochromulina rotalis"
"4","euk","Cluster_148","Eukaryota","Prymnesiophyceae",".","Hacrobia","Haptista","Haptophyta","Prymnesiales","Prymnesiaceae","Chrysochromulina","Chrysochromulina rotalis",7,51,"SPO-SPSG-SRF-0-8-5-00_bin-581","Eukaryota;Prymnesiophyceae;.;Hacrobia;Haptista;Haptophyta;Prymnesiales;Prymnesiaceae;Chrysochromulina;Chrysochromulina rotalis"
"5","euk","Cluster_187","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Insecta","-","-",".","-",1,24,"MS-all-SRF-20-180-00_bin-87","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Insecta;-;-;.;-"
"6","euk","Cluster_41","Eukaryota","Opisthokonta","Metazoa","Metazoa","Chordata","-","-","-",".","-",1,15,"SPO-SPSG-SRF-5-20-00_bin-108","Eukaryota;Opisthokonta;Metazoa;Metazoa;Chordata;-;-;-;.;-"
"7","euk","Cluster_41","Eukaryota","Opisthokonta","Metazoa","Metazoa","Chordata","-","-","-",".","-",1,15,"SPO-SPSG-SRF-180-2000-00_bin-129","Eukaryota;Opisthokonta;Metazoa;Metazoa;Chordata;-;-;-;.;-"
"8","euk","Cluster_41","Eukaryota","Opisthokonta","Metazoa","Metazoa","Chordata","-","-","-",".","-",1,15,"SPO-SPSG-SRF-20-180-00_bin-100","Eukaryota;Opisthokonta;Metazoa;Metazoa;Chordata;-;-;-;.;-"
"9","euk","Cluster_41","Eukaryota","Opisthokonta","Metazoa","Metazoa","Chordata","-","-","-",".","-",1,15,"SPO-all-SRF-20-180-00_bin-120","Eukaryota;Opisthokonta;Metazoa;Metazoa;Chordata;-;-;-;.;-"
"10","euk","Cluster_169","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Insecta","-","-",".","-",1,35,"SPO-PEOD-DCM-20-180-00_bin-4","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Insecta;-;-;.;-"
"11","euk","Cluster_112","Eukaryota","Sar",".","-","-","Dinophyceae","-","-",".","-",7,57,"SPO-SPSG-SRF-0-8-5-00_bin-427","Eukaryota;Sar;.;-;-;Dinophyceae;-;-;.;-"
"12","euk","Cluster_112","Eukaryota","Sar",".","-","-","Dinophyceae","-","-",".","-",7,57,"SPO-all-SRF-0-8-5-00_bin-148","Eukaryota;Sar;.;-;-;Dinophyceae;-;-;.;-"
"13","euk","Cluster_66","Eukaryota",".",".","Hacrobia","Cryptophyta","Cryptophyceae","Pyrenomonadales","Geminigeraceae","Geminigera","Geminigera cryophila",7,84,"NAO-all-MIX-0-8-5-00_bin-124","Eukaryota;.;.;Hacrobia;Cryptophyta;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Geminigera;Geminigera cryophila"
