"","Predicted.trophic.mode","KEGG_ID_NUM","summed","total","Ratio","ProbSuccess"
"1","Heterotroph","K00003",15,211,0.0710900473933649,0.0710900473933649
"2","Heterotroph","K00010",73,211,0.345971563981043,0.345971563981043
"3","Heterotroph","K00018",6,211,0.028436018957346,0.028436018957346
"4","Heterotroph","K00019",48,211,0.227488151658768,0.227488151658768
"5","Heterotroph","K00023",4,211,0.018957345971564,0.018957345971564
"6","Heterotroph","K00033",175,211,0.829383886255924,0.829383886255924
"7","Heterotroph","K00034",1,211,0.004739336492891,0.004739336492891
"8","Heterotroph","K00036",157,211,0.744075829383886,0.744075829383886
"9","Heterotroph","K00053",69,211,0.327014218009479,0.327014218009479
"10","Heterotroph","K00055",8,211,0.037914691943128,0.037914691943128
"11","Heterotroph","K00060",27,211,0.127962085308057,0.127962085308057
"12","Heterotroph","K00067",66,211,0.312796208530806,0.312796208530806
"13","Heterotroph","K00069",51,211,0.241706161137441,0.241706161137441
"14","Heterotroph","K00083",2,211,0.00947867298578199,0.00947867298578199
"15","Heterotroph","K00099",31,211,0.146919431279621,0.146919431279621
"16","Heterotroph","K00101",104,211,0.492890995260663,0.492890995260663
"17","Heterotroph","K00103",26,211,0.123222748815166,0.123222748815166
"18","Heterotroph","K00116",27,211,0.127962085308057,0.127962085308057
"19","Heterotroph","K00128",141,211,0.66824644549763,0.66824644549763
"20","Heterotroph","K00134",197,211,0.933649289099526,0.933649289099526
"21","Heterotroph","K00138",15,211,0.0710900473933649,0.0710900473933649
"22","Heterotroph","K00143",40,211,0.18957345971564,0.18957345971564
"23","Heterotroph","K00145",54,211,0.255924170616114,0.255924170616114
"24","Heterotroph","K00161",164,211,0.777251184834123,0.777251184834123
"25","Heterotroph","K00162",154,211,0.729857819905213,0.729857819905213
"26","Heterotroph","K00163",23,211,0.109004739336493,0.109004739336493
"27","Heterotroph","K00208",28,211,0.132701421800948,0.132701421800948
"28","Heterotroph","K00209",6,211,0.028436018957346,0.028436018957346
"29","Heterotroph","K00218",4,211,0.018957345971564,0.018957345971564
"30","Heterotroph","K00228",147,211,0.696682464454976,0.696682464454976
"31","Heterotroph","K00231",125,211,0.592417061611374,0.592417061611374
"32","Heterotroph","K00232",176,211,0.834123222748815,0.834123222748815
"33","Heterotroph","K00239",176,211,0.834123222748815,0.834123222748815
"34","Heterotroph","K00255",61,211,0.289099526066351,0.289099526066351
"35","Heterotroph","K00274",82,211,0.388625592417062,0.388625592417062
"36","Heterotroph","K00284",1,211,0.004739336492891,0.004739336492891
"37","Heterotroph","K00288",74,211,0.350710900473934,0.350710900473934
"38","Heterotroph","K00290",92,211,0.436018957345972,0.436018957345972
"39","Heterotroph","K00314",66,211,0.312796208530806,0.312796208530806
"40","Heterotroph","K00315",32,211,0.151658767772512,0.151658767772512
"41","Heterotroph","K00325",24,211,0.113744075829384,0.113744075829384
"42","Heterotroph","K00326",186,211,0.881516587677725,0.881516587677725
"43","Heterotroph","K00330",8,211,0.037914691943128,0.037914691943128
"44","Heterotroph","K00333",86,211,0.407582938388626,0.407582938388626
"45","Heterotroph","K00338",142,211,0.672985781990521,0.672985781990521
"46","Heterotroph","K00339",4,211,0.018957345971564,0.018957345971564
"47","Heterotroph","K00350",4,211,0.018957345971564,0.018957345971564
