,color,name
RS-all-SRF-0-8-5-00_bin-105,#DFF2A6,Eukaryota;Archaeplastida;Chlorophyta;-
SPO-all-SRF-0-8-5-00_bin-190,#1D8C8A,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta
IO-all-DCM-0-8-5-00_bin-111,#EB9E7A,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae
IO-all-SRF-20-180-00_bin-43,#481358,Eukaryota;Metazoa;Arthropoda;Hexanauplia
MS-all-SRF-0-8-5-00_bin-318,#6EAA93,Eukaryota;SAR
NAO-all-MES-0-8-5-00_bin-73,#821C4A,Eukaryota;Opisthokonta;Fungi;Ascomycota
SAO-all-SRF-20-180-00_bin-42,#481358,Eukaryota;Metazoa;Arthropoda;Hexanauplia
NAO-all-SRF-0-8-5-00_bin-17,#CDCBCC,Eukaryota;-;-;-
SPO-SPSG-MIX-0-8-5-00_bin-132,#D4EC83,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae
MS-all-DCM-0-8-5-00_bin-224,#6EAA93,Eukaryota;SAR
MS-all-DCM-0-8-5-00_bin-636,#A2D520,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae
SPO-all-SRF-5-20-00_bin-108,#D4EC83,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae
SPO-SPSG-DCM-0-8-5-00_bin-172,#D4EC83,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae
SPO-SPSG-SRF-0-8-5-00_bin-560,#DFF2A6,Eukaryota;Archaeplastida;Chlorophyta;-
SPO-PEOD-MES-0-8-5-00_bin-1,#821C4A,Eukaryota;Opisthokonta;Fungi;Ascomycota
SPO-all-SRF-0-8-5-00_bin-148,#CDCBCC,Eukaryota;-;-;-
SPO-SPSG-SRF-0-8-5-00_bin-329,#EB9E7A,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae
SPO-SPSG-SRF-20-180-00_bin-115,#481358,Eukaryota;Metazoa;Arthropoda;-
SAO-all-SRF-0-8-5-00_bin-59,#6EAA93,Eukaryota;SAR
SPO-PEOD-SRF-20-180-00_bin-32,#481358,Eukaryota;Metazoa;Arthropoda;-
SPO-all-SRF-5-20-00_bin-120,#D4EC83,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae
MS-all-SRF-5-20-00_bin-56,#481358,Eukaryota;Metazoa;Arthropoda;Hexanauplia
IO-all-SRF-5-20-00_bin-121,#1D8C8A,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta
MS-all-DCM-20-180-00_bin-15,#481358,Eukaryota;Metazoa;Arthropoda;-
SAO-all-SRF-0-8-5-00_bin-325,#BAAB1C,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae
SPO-PEOD-DCM-0-8-5-00_bin-80,#A2D520,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae
NAO-all-MIX-0-8-5-00_bin-204,#EB9E7A,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae
SPO-all-SRF-0-8-5-00_bin-508,#D4EC83,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae
MS-all-SRF-0-8-5-00_bin-161,#1EAEA0,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae
SPO-all-SRF-20-180-00_bin-202,#481358,Eukaryota;Metazoa;Arthropoda;Hexanauplia
SPO-SPSG-MIX-0-8-5-00_bin-106,#CDCBCC,Eukaryota;-;-;-
NAO-all-MIX-0-8-5-00_bin-258,#CDCBCC,Eukaryota;-;-;-
SPO-all-SRF-0-8-5-00_bin-318,#31C4AB,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae
SO-all-SRF-0-8-5-00_bin-63,#1D8C8A,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta
MS-all-SRF-0-8-5-00_bin-425,#A2D520,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae
IO-all-DCM-0-8-5-00_bin-325,#6EAA93,Eukaryota;SAR
RS-all-SRF-0-8-5-00_bin-39,#A2D520,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae
SPO-all-SRF-180-2000-00_bin-17,#481358,Eukaryota;Metazoa;Arthropoda;Branchiopoda
NAO-all-MIX-0-8-5-00_bin-275,#19A39A,Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae
SPO-SPSG-SRF-20-180-00_bin-100,#2F0D3B,Eukaryota;Metazoa;-;-
IO-all-SRF-0-8-5-00_bin-341,#DFF2A6,Eukaryota;Archaeplastida;Chlorophyta;-
SPO-all-SRF-20-180-00_bin-173,#481358,Eukaryota;Metazoa;Arthropoda;-
NAO-all-DCM-0-8-5-00_bin-160,#A2D520,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae
NAO-all-MIX-0-8-5-00_bin-279,#6EAA93,Eukaryota;SAR
NPO-all-DCM-0-8-5-00_bin-249,#1D8C8A,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta
MS-all-DCM-20-180-00_bin-25,#481358,Eukaryota;Metazoa;Arthropoda;-
SAO-all-SRF-5-20-00_bin-16,#821C4A,Eukaryota;Opisthokonta;Fungi;Ascomycota
NAO-all-SRF-0-8-5-00_bin-550,#A2D520,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae
SPO-SPSG-SRF-0-8-5-00_bin-234,#DFF2A6,Eukaryota;Archaeplastida;Chlorophyta;-
MS-all-SRF-0-8-5-00_bin-93,#A2D520,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae
SPO-all-SRF-20-180-00_bin-172,#481358,Eukaryota;Metazoa;Arthropoda;Hexanauplia
MS-all-SRF-0-8-5-00_bin-310,#EB9E7A,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae
NAO-all-MES-0-8-5-00_bin-372,#821C4A,Eukaryota;Opisthokonta;Fungi;Ascomycota
MS-all-SRF-5-20-00_bin-93,#481358,Eukaryota;Metazoa;Arthropoda;Hexanauplia
MS-all-DCM-0-8-5-00_bin-322,#95A919,Eukaryota;Archaeplastida;Chlorophyta;Prasino-Clade-V
NPO-all-SRF-0-8-5-00_bin-284,#CDCBCC,Eukaryota;-;-;-
MS-all-DCM-20-180-00_bin-41,#481358,Eukaryota;Metazoa;Arthropoda;-
IO-all-DCM-0-8-5-00_bin-323,#DFF2A6,Eukaryota;Archaeplastida;Chlorophyta;-
