"MAGs","PredictedTrophicMode","HeterotrophyScore","Prototrophy.prediction","Photosynthesis.prediction","Phagocyte.rozellid.prediction","Phagocyte.generalist.prediction"
"MS-all-SRF-0-8-5-00_bin-584","Phototroph",-234,0.871597313238862,0.998658636529566,0.0155892380460552,0.00193019208070558
"MS-all-SRF-20-180-00_bin-27","Heterotroph",174,0.00269447105799406,0.00133431605222339,0.511642591723561,0.579694167798517
"SAO-all-DCM-180-2000-00_bin-12","Heterotroph",65,0.000553948608961543,0.00033714061073093,0.101071938781887,0.00286494901370048
"SPO-all-SRF-5-20-00_bin-13","Phototroph",-239,0.958641781493179,0.997908319421667,0.497168427150698,0.228463390867419
"NPO-all-SRF-20-180-00_bin-76","Phototroph",-212,0.921878570095598,0.973028357522611,0.532888996685581,0.129098980200857
"MS-all-DCM-0-8-5-00_bin-94","Heterotroph",29,0.140438658007664,0.00175816025795579,0.975611051500678,0.988114941858297
"NPO-all-DCM-0-8-5-00_bin-249","Phototroph",-347,0.923334501258509,0.971089600629153,0.19302421244322,0.00669633732564642
"NPO-all-SRF-0-8-5-00_bin-646","Heterotroph",41,0.22655510862804,0.00186230245456542,0.957346908025928,0.990565151252796
"SPO-all-DCM-0-8-5-00_bin-35","Phototroph",-329,0.966256745251402,0.99813994024008,0.0408214841718182,0.00776697561025161
"SAO-all-SRF-0-8-5-00_bin-506","Phototroph",-288,0.816236315719301,0.972020768669632,0.0499947266084262,0.00424635403450981
"NPO-all-SRF-0-8-5-00_bin-490","Phototroph",-146,0.958067730919119,0.862153275378286,0.907058357616877,0.999670490739864
"SPO-all-SRF-0-8-5-00_bin-318","Phototroph",-149,0.65215779007819,0.15775488603816,0.597889855610374,0.953149150916441
"MS-all-DCM-0-8-5-00_bin-256","Phototroph",-349,0.971485779463336,0.998262367386085,0.0680743666349357,0.0351014428796027
"NAO-all-SRF-0-8-5-00_bin-76","Phototroph",-136,0.445282458167851,0.799848291386592,0.680187566222844,0.628212306592262
"SPO-all-SRF-20-180-00_bin-173","Heterotroph",74,0.00384219150227601,0.000597604191318198,0.172408568185554,0.115026256116024
"SPO-CHIL-DCM-0-8-5-00_bin-46","Phototroph",-309,0.96503663054148,0.995543792422865,0.0527888724162648,0.00422144843932838
"SAO-all-DCM-0-8-5-00_bin-516","Phototroph",-108,0.9520191384618,0.985271389336473,0.973132669988349,0.990595278810802
"SPO-all-SRF-0-8-5-00_bin-449","Heterotroph",69,0.215994299251954,0.00159733562943533,0.940892330945205,0.997696817923544
"NAO-all-SRF-0-8-5-00_bin-339","Phototroph",-94,0.115601174190536,0.341328405112054,0.255595248964361,0.189523866420114
"SAO-all-DCM-0-8-5-00_bin-253","Heterotroph",17,0.0547569933705055,0.00173208836412143,0.0845939562264469,0.0291347271914053
"NPO-all-SRF-0-8-5-00_bin-232","Phototroph",-250,0.985049016806114,0.999527498410775,0.505906421987376,0.590950730439434
"SPO-all-SRF-180-2000-00_bin-146","Heterotroph",116,0.0125358546446984,0.00127838680664784,0.353537068179186,0.91576193725197
"SO-all-SRF-0-8-5-00_bin-112","Heterotroph",34,0.0448868572010315,0.00609745587036183,0.886846337442402,0.969414302636636
"SPO-all-SRF-20-180-00_bin-146","Heterotroph",185,0.00565980798548,0.00239200335078903,0.522208660121917,0.879137186241812
"SAO-all-SRF-0-8-5-00_bin-333","Phototroph",-343,0.783083067925619,0.912030795420047,0.116042579832442,0.00173559404511815
"MS-all-SRF-5-20-00_bin-9","Heterotroph",162,0.0138639489017533,0.00173127452416062,0.438178137857291,0.729607403362065
"IO-all-SRF-5-20-00_bin-71","Heterotroph",71,0.475349459065072,0.0255334331919404,0.601613508859711,0.983502524016394
"IO-all-DCM-0-8-5-00_bin-157","Heterotroph",91,0.26573016726173,0.00435399467544162,0.973991814142038,0.993833022375018
"NAO-all-SRF-0-8-5-00_bin-297","Heterotroph",68,0.859504238323543,0.012986994258054,0.854348852522064,0.998681443546606
"SAO-all-DCM-0-8-5-00_bin-245","Phototroph",-215,0.896830166927727,0.853099944521475,0.665751072380976,0.789731180091721
"SPO-all-SRF-0-8-5-00_bin-867","Phototroph",-352,0.983646040630057,0.999306369379053,0.0527693584472777,0.0293198569414704
"NAO-all-MIX-0-8-5-00_bin-161","Phototroph",-245,0.985720937046834,0.994930527864074,0.663405542505536,0.613962478155384
"NAO-all-DCM-0-8-5-00_bin-160","Phototroph",-299,0.981802301953892,0.999787890441332,0.0326176166789622,0.0184750501532111
"IO-all-SRF-0-8-5-00_bin-446","Heterotroph",88,0.0430266152875675,0.00285454252684422,0.89899074450289,0.99759823450305
"SAO-all-MES-0-8-5-00_bin-84","Heterotroph",90,0.0559726882051317,0.00129222754803771,0.963041760612496,0.99442539303224
"MS-all-SRF-0-8-5-00_bin-198","Phototroph",-140,0.937929087021262,0.971156500693738,0.936884545591719,0.982634292578899
"RS-all-SRF-0-8-5-00_bin-50","Phototroph",-284,0.87096640814586,0.886078035684305,0.00991672681383092,0.00404956401002128
"SAO-all-SRF-0-8-5-00_bin-546","Phototroph",-188,0.867110387870566,0.949105882291739,0.203296876469348,0.453577166648363
"SPO-SPSG-DCM-0-8-5-00_bin-173","Phototroph",-342,0.952519157444922,0.996271310919317,0.0652104706280861,0.00640756697921483
"MS-all-SRF-180-2000-00_bin-24","Heterotroph",207,0.00581977683094617,0.00260580829154353,0.375738257159433,0.913512401661097
"IO-all-DCM-20-180-00_bin-57","Phototroph",-204,0.483544280932207,0.708935989797644,0.0344237693344346,0.00174245301840427
"SPO-all-DCM-0-8-5-00_bin-501","Heterotroph",32,0.105098898143019,0.00825442883992563,0.802630264723497,0.955824726565916
"SPO-all-SRF-0-8-5-00_bin-165","Phototroph",-149,0.56150317843351,0.510170135190192,0.534830951585004,0.0134592803882799
"SAO-all-DCM-0-8-5-00_bin-465","Heterotroph",22,0.0154464496888613,0.000936180205085345,0.91681484596343,0.823164210086212
"NPO-all-SRF-0-8-5-00_bin-113","Heterotroph",76,0.0199040116111054,0.000811705310660146,0.944815203906986,0.995476035974684
"SPO-CHIL-SRF-180-2000-00_bin-2","Phototroph",-331,0.902894133716387,0.992768741903354,0.220575824730167,0.0136208292274819
