old_mag_name	new_mag_name
IO-all-DCM-0-8-5-00_bin-1	TOPAZ_IOD1_P001
IO-all-DCM-0-8-5-00_bin-103	TOPAZ_IOD1_P002
IO-all-DCM-0-8-5-00_bin-106	TOPAZ_IOD1_P003
IO-all-DCM-0-8-5-00_bin-108	TOPAZ_IOD1_P004
IO-all-DCM-0-8-5-00_bin-113	TOPAZ_IOD1_P005
IO-all-DCM-0-8-5-00_bin-116	TOPAZ_IOD1_P006
IO-all-DCM-0-8-5-00_bin-118	TOPAZ_IOD1_P007
IO-all-DCM-0-8-5-00_bin-126	TOPAZ_IOD1_P008
IO-all-DCM-0-8-5-00_bin-129	TOPAZ_IOD1_P009
IO-all-DCM-0-8-5-00_bin-135	TOPAZ_IOD1_P010
IO-all-DCM-0-8-5-00_bin-138	TOPAZ_IOD1_P011
IO-all-DCM-0-8-5-00_bin-140	TOPAZ_IOD1_P012
IO-all-DCM-0-8-5-00_bin-144	TOPAZ_IOD1_P013
IO-all-DCM-0-8-5-00_bin-149	TOPAZ_IOD1_P014
IO-all-DCM-0-8-5-00_bin-15	TOPAZ_IOD1_P015
IO-all-DCM-0-8-5-00_bin-155	TOPAZ_IOD1_P016
IO-all-DCM-0-8-5-00_bin-158	TOPAZ_IOD1_P017
IO-all-DCM-0-8-5-00_bin-167	TOPAZ_IOD1_P018
IO-all-DCM-0-8-5-00_bin-170	TOPAZ_IOD1_P019
IO-all-DCM-0-8-5-00_bin-176	TOPAZ_IOD1_P020
IO-all-DCM-0-8-5-00_bin-180	TOPAZ_IOD1_P021
IO-all-DCM-0-8-5-00_bin-182	TOPAZ_IOD1_P022
IO-all-DCM-0-8-5-00_bin-183	TOPAZ_IOD1_P023
IO-all-DCM-0-8-5-00_bin-185	TOPAZ_IOD1_P024
IO-all-DCM-0-8-5-00_bin-189	TOPAZ_IOD1_P025
IO-all-DCM-0-8-5-00_bin-190	TOPAZ_IOD1_P026
IO-all-DCM-0-8-5-00_bin-198	TOPAZ_IOD1_P027
IO-all-DCM-0-8-5-00_bin-213	TOPAZ_IOD1_P028
IO-all-DCM-0-8-5-00_bin-217	TOPAZ_IOD1_P029
IO-all-DCM-0-8-5-00_bin-218	TOPAZ_IOD1_P030
IO-all-DCM-0-8-5-00_bin-225	TOPAZ_IOD1_P031
IO-all-DCM-0-8-5-00_bin-228	TOPAZ_IOD1_P032
IO-all-DCM-0-8-5-00_bin-234	TOPAZ_IOD1_P033
IO-all-DCM-0-8-5-00_bin-237	TOPAZ_IOD1_P034
IO-all-DCM-0-8-5-00_bin-239	TOPAZ_IOD1_P035
IO-all-DCM-0-8-5-00_bin-242	TOPAZ_IOD1_P036
IO-all-DCM-0-8-5-00_bin-249	TOPAZ_IOD1_P037
IO-all-DCM-0-8-5-00_bin-254	TOPAZ_IOD1_P038
IO-all-DCM-0-8-5-00_bin-261	TOPAZ_IOD1_P039
IO-all-DCM-0-8-5-00_bin-264	TOPAZ_IOD1_P040
IO-all-DCM-0-8-5-00_bin-268	TOPAZ_IOD1_P041
IO-all-DCM-0-8-5-00_bin-27	TOPAZ_IOD1_P042
IO-all-DCM-0-8-5-00_bin-270	TOPAZ_IOD1_P043
IO-all-DCM-0-8-5-00_bin-275	TOPAZ_IOD1_P044
IO-all-DCM-0-8-5-00_bin-277	TOPAZ_IOD1_P045
IO-all-DCM-0-8-5-00_bin-278	TOPAZ_IOD1_P046
IO-all-DCM-0-8-5-00_bin-281	TOPAZ_IOD1_P047
IO-all-DCM-0-8-5-00_bin-284	TOPAZ_IOD1_P048
IO-all-DCM-0-8-5-00_bin-288	TOPAZ_IOD1_P049
IO-all-DCM-0-8-5-00_bin-29	TOPAZ_IOD1_P050
IO-all-DCM-0-8-5-00_bin-294	TOPAZ_IOD1_P051
IO-all-DCM-0-8-5-00_bin-299	TOPAZ_IOD1_P052
IO-all-DCM-0-8-5-00_bin-303	TOPAZ_IOD1_P053
IO-all-DCM-0-8-5-00_bin-304	TOPAZ_IOD1_P054
IO-all-DCM-0-8-5-00_bin-308	TOPAZ_IOD1_P055
IO-all-DCM-0-8-5-00_bin-309	TOPAZ_IOD1_P056
IO-all-DCM-0-8-5-00_bin-311	TOPAZ_IOD1_P057
IO-all-DCM-0-8-5-00_bin-313	TOPAZ_IOD1_P058
IO-all-DCM-0-8-5-00_bin-316	TOPAZ_IOD1_P059
IO-all-DCM-0-8-5-00_bin-318	TOPAZ_IOD1_P060
IO-all-DCM-0-8-5-00_bin-322	TOPAZ_IOD1_P061
IO-all-DCM-0-8-5-00_bin-326	TOPAZ_IOD1_P062
IO-all-DCM-0-8-5-00_bin-336	TOPAZ_IOD1_P063
IO-all-DCM-0-8-5-00_bin-337	TOPAZ_IOD1_P064
IO-all-DCM-0-8-5-00_bin-340	TOPAZ_IOD1_P065
IO-all-DCM-0-8-5-00_bin-345	TOPAZ_IOD1_P066
IO-all-DCM-0-8-5-00_bin-347	TOPAZ_IOD1_P067
IO-all-DCM-0-8-5-00_bin-348	TOPAZ_IOD1_P068
IO-all-DCM-0-8-5-00_bin-49	TOPAZ_IOD1_P069
IO-all-DCM-0-8-5-00_bin-55	TOPAZ_IOD1_P070
IO-all-DCM-0-8-5-00_bin-56	TOPAZ_IOD1_P071
IO-all-DCM-0-8-5-00_bin-58	TOPAZ_IOD1_P072
IO-all-DCM-0-8-5-00_bin-6	TOPAZ_IOD1_P073
IO-all-DCM-0-8-5-00_bin-71	TOPAZ_IOD1_P074
IO-all-DCM-0-8-5-00_bin-73	TOPAZ_IOD1_P075
IO-all-DCM-0-8-5-00_bin-74	TOPAZ_IOD1_P076
IO-all-DCM-0-8-5-00_bin-75	TOPAZ_IOD1_P077
IO-all-DCM-0-8-5-00_bin-76	TOPAZ_IOD1_P078
IO-all-DCM-0-8-5-00_bin-77	TOPAZ_IOD1_P079
IO-all-DCM-0-8-5-00_bin-80	TOPAZ_IOD1_P080
IO-all-DCM-0-8-5-00_bin-81	TOPAZ_IOD1_P081
IO-all-DCM-0-8-5-00_bin-84	TOPAZ_IOD1_P082
IO-all-DCM-0-8-5-00_bin-88	TOPAZ_IOD1_P083
IO-all-DCM-0-8-5-00_bin-95	TOPAZ_IOD1_P084
IO-all-DCM-0-8-5-00_bin-96	TOPAZ_IOD1_P085
IO-all-DCM-0-8-5-00_bin-97	TOPAZ_IOD1_P086
IO-all-FSW-0-8-5-00_bin-10	TOPAZ_IOF1_P001
IO-all-FSW-0-8-5-00_bin-100	TOPAZ_IOF1_P002
IO-all-FSW-0-8-5-00_bin-101	TOPAZ_IOF1_P003
IO-all-FSW-0-8-5-00_bin-102	TOPAZ_IOF1_P004
IO-all-FSW-0-8-5-00_bin-106	TOPAZ_IOF1_P005
IO-all-FSW-0-8-5-00_bin-112	TOPAZ_IOF1_P006
IO-all-FSW-0-8-5-00_bin-114	TOPAZ_IOF1_P007
IO-all-FSW-0-8-5-00_bin-117	TOPAZ_IOF1_P008
IO-all-FSW-0-8-5-00_bin-119	TOPAZ_IOF1_P009
IO-all-FSW-0-8-5-00_bin-120	TOPAZ_IOF1_P010
IO-all-FSW-0-8-5-00_bin-121	TOPAZ_IOF1_P011
