"community","groups","Cor","Cor_Pval","Cor_Var"
"1","Chlorophyta",0.0298804680829554,1,"Sal"
"1","Eukaryota",-0.0107632077065084,1,"Sal"
"1","Haptophyta",0.055401666128549,1,"Sal"
"1","Ochrophyta",0.132572914981333,0.0239357594223416,"Sal"
"1","Sar",0.0243100924184611,1,"Sal"
"2","Chlorophyta",0.0126944446745838,1,"Sal"
"2","Eukaryota",0.00367412552736402,1,"Sal"
"2","Fungi",0.0611044856034715,1,"Sal"
"2","Haptophyta",0.161590346858122,0.000398191717515805,"Sal"
"2","Metazoa",0.0590979206671953,1,"Sal"
"2","Ochrophyta",-0.0884015465726075,1,"Sal"
"2","Sar",-0.0554500754599555,1,"Sal"
"3","Chlorophyta",-0.0540757110338997,1,"Sal"
"3","Cryptophyta",0.0831369250667545,1,"Sal"
"3","Eukaryota",-0.0521890983616792,1,"Sal"
"3","Haptophyta",-0.155108978571918,0.00106644958703373,"Sal"
"3","Ochrophyta",-0.00881564868493897,1,"Sal"
"3","Sar",0.122163168630552,0.0859477668965099,"Sal"
"4","Metazoa",0.225608429130328,2.25440514952962e-09,"Sal"
"5","Chlorophyta",-0.124697856105602,0.0640013680937433,"Sal"
"6","Ochrophyta",0.291771790155304,8.58440839409113e-17,"Sal"
NA,"Chlorophyta",0.0264905630991237,1,"Sal"
NA,"Eukaryota",-0.0385065551798724,1,"Sal"
NA,"Fungi",-0.110470656910589,0.310354577076415,"Sal"
NA,"Haptophyta",0.02197908761144,1,"Sal"
NA,"Metazoa",0.0567259348399246,1,"Sal"
NA,"Ochrophyta",0.200226326523336,4.48036732803202e-07,"Sal"
"1","Chlorophyta",0.0513707110275287,1,"Tpot [°C] (in the selected environmental...)"
"1","Eukaryota",0.0863749949049858,1,"Tpot [°C] (in the selected environmental...)"
"1","Haptophyta",0.128525662931438,0.0346830982872563,"Tpot [°C] (in the selected environmental...)"
"1","Ochrophyta",0.0707680110076966,1,"Tpot [°C] (in the selected environmental...)"
"1","Sar",0.137521415231013,0.0107004544181128,"Tpot [°C] (in the selected environmental...)"
"2","Chlorophyta",0.478976415007117,3.17483180532646e-52,"Tpot [°C] (in the selected environmental...)"
"2","Eukaryota",0.119277446804779,0.105405462057636,"Tpot [°C] (in the selected environmental...)"
"2","Fungi",0.110172530383348,0.290177495238999,"Tpot [°C] (in the selected environmental...)"
"2","Haptophyta",0.0994074088127741,0.877481868644281,"Tpot [°C] (in the selected environmental...)"
"2","Metazoa",0.0732956496237056,1,"Tpot [°C] (in the selected environmental...)"
"2","Ochrophyta",-0.215105521984546,1.49197388969956e-08,"Tpot [°C] (in the selected environmental...)"
"2","Sar",-0.172622077169072,5.21598534323748e-05,"Tpot [°C] (in the selected environmental...)"
"3","Chlorophyta",-0.163245360126474,0.000245935927727809,"Tpot [°C] (in the selected environmental...)"
"3","Cryptophyta",-0.021759778696581,1,"Tpot [°C] (in the selected environmental...)"
"3","Eukaryota",-0.247285093619777,8.66341513960521e-12,"Tpot [°C] (in the selected environmental...)"
"3","Haptophyta",-0.213349663655021,2.16778367530536e-08,"Tpot [°C] (in the selected environmental...)"
"3","Ochrophyta",-0.284246664671213,3.91101524876654e-16,"Tpot [°C] (in the selected environmental...)"
"3","Sar",-0.197691641808695,5.28321677670229e-07,"Tpot [°C] (in the selected environmental...)"
"4","Metazoa",0.271908788749583,1.30906023757345e-14,"Tpot [°C] (in the selected environmental...)"
"5","Chlorophyta",0.391986726196816,4.64266434006254e-33,"Tpot [°C] (in the selected environmental...)"
"6","Ochrophyta",0.241177254396796,3.88320387537232e-11,"Tpot [°C] (in the selected environmental...)"
NA,"Chlorophyta",0.207985253564277,6.66563552832403e-08,"Tpot [°C] (in the selected environmental...)"
NA,"Eukaryota",0.0137606265572255,1,"Tpot [°C] (in the selected environmental...)"
