"","Source_ID","HeterotrophyScore","Predicted.trophic.mode","Genome","Phagocyte.generalist.prediction","Phagocyte.entamoebid.prediction","Phagocyte.rozellid.prediction","Prototrophy.prediction","Photosynthesis.prediction","Trophic.mode","RF.predicted.TM"
"1","MMETSP0004",-171,"Phototroph","MMETSP0004.sigModels.txt",0.8897311146873,0.528433608665071,0.522879965655466,0.817421925876911,0.622513152998087,"Mixotroph","Mixotroph"
"2","MMETSP0005",-191,"Phototroph","MMETSP0005.sigModels.txt",0.878768860057652,0.583442182727163,0.55591812413665,0.840177992161221,0.719754674280162,"Mixotroph","Mixotroph"
"3","MMETSP0006",-213,"Phototroph","MMETSP0006.sigModels.txt",0.984406674494268,0.918754111288599,0.984840500084719,0.943631685548595,0.826783099930468,"Mixotroph","Mixotroph"
"4","MMETSP0007",-118,"Phototroph","MMETSP0007.sigModels.txt",0.0353483495379668,0.0123289942574235,0.790601975174785,0.265138928933072,0.406224153193371,"Mixotroph","Phototroph"
"5","MMETSP0008",-207,"Phototroph","MMETSP0008.sigModels.txt",0.990317076187056,0.804827673315634,0.9779026406602,0.964777186388607,0.922657995177736,"Mixotroph","Mixotroph"
"6","MMETSP0009",-364,"Phototroph","MMETSP0009.sigModels.txt",0.00376494860866392,0.00725598460012811,0.0684515710714876,0.912291512734104,0.924296930659791,"Phototroph","Phototroph"
"7","MMETSP0010",-382,"Phototroph","MMETSP0010.sigModels.txt",0.00102308458636612,0.00563833265666288,0.113050793695932,0.918823632230806,0.974470200140734,"Phototroph","Phototroph"
"8","MMETSP0011",-306,"Phototroph","MMETSP0011.sigModels.txt",0.00060607586673013,0.0018099645463992,0.00502743617027158,0.821644978195225,0.73734242656431,"Phototroph","Phototroph"
"9","MMETSP0013",-397,"Phototroph","MMETSP0013.sigModels.txt",0.00683194519086861,0.0150538895482689,0.234954059961508,0.935999654781931,0.954889657455231,"Phototroph","Phototroph"
"10","MMETSP0014",-75,"Phototroph","MMETSP0014.sigModels.txt",0.0121372039508771,0.0167235706111267,0.256200448642979,0.931177573771543,0.986377902534609,"Phototroph","Phototroph"
"11","MMETSP0015",-394,"Phototroph","MMETSP0015.sigModels.txt",0.105481752992871,0.203723609903968,0.229419205314783,0.911135120422211,0.985136531251967,"Phototroph","Phototroph"
"12","MMETSP0017",-388,"Phototroph","MMETSP0017.sigModels.txt",0.00867622796322759,0.00841630139412004,0.160148275668928,0.96787391648637,0.961011603953821,"Phototroph","Phototroph"
"13","MMETSP0019",-181,"Phototroph","MMETSP0019.sigModels.txt",0.804872721331995,0.781923583554033,0.471664086898717,0.884407852145606,0.703629191838678,"Mixotroph","Mixotroph"
"14","MMETSP0020",-178,"Phototroph","MMETSP0020.sigModels.txt",0.814064775267983,0.84643594159169,0.376249753795144,0.599655463611064,0.528324068134645,"Mixotroph","Mixotroph"
"15","MMETSP0027",-0.250692520775623,"Mixotroph","MMETSP0027.sigModels.txt",0.954566138709785,0.94207306097074,0.699984444455842,0.901672802606545,0.903967275904989,"Phototroph","Phototroph"
"16","MMETSP0029",11,"Heterotroph","MMETSP0029.sigModels.txt",0.940603061937369,0.931111083843582,0.829991444202607,0.923653422867267,0.883541396909742,"Phototroph","Phototroph"
"17","MMETSP0030",-0.237430167597765,"Mixotroph","MMETSP0030.sigModels.txt",0.957628552041161,0.932686179675255,0.844252748085735,0.896876827807064,0.923763609157957,"Phototroph","Phototroph"
"18","MMETSP0031",17,"Heterotroph","MMETSP0031.sigModels.txt",0.902917213390448,0.893844183192751,0.798320028745934,0.913097264641382,0.840196935886244,"Phototroph","Phototroph"
"19","MMETSP0033",-227,"Phototroph","MMETSP0033.sigModels.txt",0.968555213376503,0.928483605598703,0.73773703682382,0.969841396137082,0.997152108158307,"Phototroph","Phototroph"
"20","MMETSP0034",-281,"Phototroph","MMETSP0034.sigModels.txt",0.253847604617219,0.0368340875827881,0.48944035755997,0.992015562883938,0.999941924289035,"Phototroph","Phototroph"
"21","MMETSP0038",-40,"Phototroph","MMETSP0038.sigModels.txt",0.82430323132856,0.829757217288954,0.933138831156843,0.797893380713117,0.0138742705084609,"Phototroph","Phototroph"
"22","MMETSP0039",-167,"Phototroph","MMETSP0039.sigModels.txt",0.0316734795976986,0.092570064929845,0.517167402675766,0.516731921130741,0.653423005395095,"Phototroph","Phototroph"
"23","MMETSP0040",-0.129392971246006,"Mixotroph","MMETSP0040.sigModels.txt",0.995566782028394,0.956245263146658,0.949992055915324,0.949563855196776,0.989484767645573,"Mixotroph","Mixotroph"
"24","MMETSP0041",-146,"Phototroph","MMETSP0041.sigModels.txt",0.997832722801284,0.994459858567071,0.97458487627573,0.861759918443735,0.976072943539115,"Mixotroph","Mixotroph"
"25","MMETSP0042",-153,"Phototroph","MMETSP0042.sigModels.txt",0.999665545370018,0.982503281858789,0.97943562027826,0.887033481780953,0.984353572622049,"Mixotroph","Mixotroph"
