"","eukprok","mag","Domain","Clade","Kingdom","Supergroup","Phylum","Class","Order","Family","Genus","Species","community","degree","MAG","classification"
"1","prok","SPO-PEOD-SRF-20-180-00_bin-10","d__Bacteria","NA","NA","NA","p__Cyanobacteria","c__Cyanobacteriia","o__Synechococcales","f__Cyanobiaceae","g__Synechococcus_C","s__Synechococcus_C sp002687115",3,3,NA,NA
"2","prok","SO-all-SRF-0-8-5-00_bin-2","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Nitrincolaceae","g__ASP10-02a","s__",2,9,NA,NA
"3","prok","NPO-all-SRF-0-8-5-00_bin-377","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales_A","f__UBA2165","g__TMED167","s__",7,12,NA,NA
"4","prok","SPO-SPSG-SRF-0-8-5-00_bin-342","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__UBA8366","f__UBA8366","g__UBA8366","s__UBA8366 sp002711555",7,12,NA,NA
"5","prok","MS-all-DCM-0-8-5-00_bin-168","d__Bacteria","NA","NA","NA","p__SAR324","c__SAR324","o__SAR324","f__NAC60-12","g__JCVI-SCAAA005","s__JCVI-SCAAA005 sp000224765",7,7,NA,NA
"6","prok","SPO-CHIL-DCM-0-8-5-00_bin-42","d__Bacteria","NA","NA","NA","p__SAR324","c__SAR324","o__SAR324","f__NAC60-12","g__JCVI-SCAAA005","s__JCVI-SCAAA005 sp002683655",7,15,NA,NA
"7","prok","NAO-all-MIX-0-8-5-00_bin-178","d__Bacteria","NA","NA","NA","p__SAR324","c__SAR324","o__SAR324","f__NAC60-12","g__JCVI-SCAAA005","s__JCVI-SCAAA005 sp000224765",7,16,NA,NA
"8","prok","SPO-all-SRF-20-180-00_bin-209","d__Bacteria","NA","NA","NA","p__Cyanobacteria","c__Cyanobacteriia","o__Synechococcales","f__Cyanobiaceae","g__Synechococcus_C","s__Synechococcus_C sp002687115",3,4,NA,NA
"9","prok","NPO-all-SRF-180-2000-00_bin-41","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Anaplasmataceae","g__","s__",1,11,NA,NA
"10","prok","SAO-all-DCM-0-8-5-00_bin-456","d__Bacteria","NA","NA","NA","p__Myxococcota","c__UBA796","o__UBA796","f__UBA796","g__GCA-2683315","s__",7,11,NA,NA
"11","prok","NPO-all-SRF-0-8-5-00_bin-260","d__Bacteria","NA","NA","NA","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__DEV007","g__","s__",4,13,NA,NA
