"","Source_ID","Predicted.trophic.mode","Score"
"1","IO-all-DCM-0-8-5-00_bin-104","Heterotroph",404
"2","IO-all-DCM-0-8-5-00_bin-104","Mixotroph",513
"3","IO-all-DCM-0-8-5-00_bin-104","Phototroph",539
"4","IO-all-DCM-0-8-5-00_bin-107","Heterotroph",236
"5","IO-all-DCM-0-8-5-00_bin-107","Mixotroph",150
"6","IO-all-DCM-0-8-5-00_bin-107","Phototroph",250
"7","IO-all-DCM-0-8-5-00_bin-111","Heterotroph",396
"8","IO-all-DCM-0-8-5-00_bin-111","Mixotroph",516
"9","IO-all-DCM-0-8-5-00_bin-111","Phototroph",533
"10","IO-all-DCM-0-8-5-00_bin-12","Heterotroph",329
"11","IO-all-DCM-0-8-5-00_bin-12","Mixotroph",444
"12","IO-all-DCM-0-8-5-00_bin-12","Phototroph",471
"13","IO-all-DCM-0-8-5-00_bin-120","Heterotroph",390
"14","IO-all-DCM-0-8-5-00_bin-120","Mixotroph",606
"15","IO-all-DCM-0-8-5-00_bin-120","Phototroph",682
"16","IO-all-DCM-0-8-5-00_bin-130","Heterotroph",187
"17","IO-all-DCM-0-8-5-00_bin-130","Mixotroph",109
"18","IO-all-DCM-0-8-5-00_bin-130","Phototroph",199
"19","IO-all-DCM-0-8-5-00_bin-147","Heterotroph",263
"20","IO-all-DCM-0-8-5-00_bin-147","Mixotroph",186
"21","IO-all-DCM-0-8-5-00_bin-147","Phototroph",242
"22","IO-all-DCM-0-8-5-00_bin-157","Heterotroph",464
"23","IO-all-DCM-0-8-5-00_bin-157","Mixotroph",399
"24","IO-all-DCM-0-8-5-00_bin-157","Phototroph",373
"25","IO-all-DCM-0-8-5-00_bin-17","Heterotroph",364
"26","IO-all-DCM-0-8-5-00_bin-17","Mixotroph",506
"27","IO-all-DCM-0-8-5-00_bin-17","Phototroph",562
"28","IO-all-DCM-0-8-5-00_bin-21","Heterotroph",356
"29","IO-all-DCM-0-8-5-00_bin-21","Mixotroph",289
"30","IO-all-DCM-0-8-5-00_bin-21","Phototroph",307
"31","IO-all-DCM-0-8-5-00_bin-230","Heterotroph",461
"32","IO-all-DCM-0-8-5-00_bin-230","Mixotroph",425
"33","IO-all-DCM-0-8-5-00_bin-230","Phototroph",415
"34","IO-all-DCM-0-8-5-00_bin-306","Heterotroph",390
"35","IO-all-DCM-0-8-5-00_bin-306","Mixotroph",529
"36","IO-all-DCM-0-8-5-00_bin-306","Phototroph",713
"37","IO-all-DCM-0-8-5-00_bin-320","Heterotroph",322
"38","IO-all-DCM-0-8-5-00_bin-320","Mixotroph",381
"39","IO-all-DCM-0-8-5-00_bin-320","Phototroph",445
"40","IO-all-DCM-0-8-5-00_bin-323","Heterotroph",451
"41","IO-all-DCM-0-8-5-00_bin-323","Mixotroph",671
"42","IO-all-DCM-0-8-5-00_bin-323","Phototroph",731
"43","IO-all-DCM-0-8-5-00_bin-325","Heterotroph",293
"44","IO-all-DCM-0-8-5-00_bin-325","Mixotroph",226
"45","IO-all-DCM-0-8-5-00_bin-325","Phototroph",274
"46","IO-all-DCM-0-8-5-00_bin-344","Heterotroph",442
"47","IO-all-DCM-0-8-5-00_bin-344","Mixotroph",587
"48","IO-all-DCM-0-8-5-00_bin-344","Phototroph",812
"49","IO-all-DCM-0-8-5-00_bin-351","Heterotroph",305
"50","IO-all-DCM-0-8-5-00_bin-351","Mixotroph",235
"51","IO-all-DCM-0-8-5-00_bin-351","Phototroph",286
"52","IO-all-DCM-0-8-5-00_bin-353","Heterotroph",407
"53","IO-all-DCM-0-8-5-00_bin-353","Mixotroph",582
"54","IO-all-DCM-0-8-5-00_bin-353","Phototroph",762
"55","IO-all-DCM-0-8-5-00_bin-36","Heterotroph",248
"56","IO-all-DCM-0-8-5-00_bin-36","Mixotroph",173
"57","IO-all-DCM-0-8-5-00_bin-36","Phototroph",226
"58","IO-all-DCM-180-2000-00_bin-20","Heterotroph",293
"59","IO-all-DCM-180-2000-00_bin-20","Mixotroph",181
"60","IO-all-DCM-180-2000-00_bin-20","Phototroph",259
"61","IO-all-DCM-180-2000-00_bin-25","Heterotroph",152
"62","IO-all-DCM-180-2000-00_bin-25","Mixotroph",64
"63","IO-all-DCM-180-2000-00_bin-25","Phototroph",167
"64","IO-all-DCM-20-180-00_bin-103","Heterotroph",405
"65","IO-all-DCM-20-180-00_bin-103","Mixotroph",227
"66","IO-all-DCM-20-180-00_bin-103","Phototroph",250
"67","IO-all-DCM-20-180-00_bin-105","Heterotroph",212
"68","IO-all-DCM-20-180-00_bin-105","Mixotroph",109
"69","IO-all-DCM-20-180-00_bin-105","Phototroph",195
"70","IO-all-DCM-20-180-00_bin-109","Heterotroph",198
"71","IO-all-DCM-20-180-00_bin-109","Mixotroph",99
"72","IO-all-DCM-20-180-00_bin-109","Phototroph",185
"73","IO-all-DCM-20-180-00_bin-117","Heterotroph",206
"74","IO-all-DCM-20-180-00_bin-117","Mixotroph",105
"75","IO-all-DCM-20-180-00_bin-117","Phototroph",175
"76","IO-all-DCM-20-180-00_bin-38","Heterotroph",291
"77","IO-all-DCM-20-180-00_bin-38","Mixotroph",151
"78","IO-all-DCM-20-180-00_bin-38","Phototroph",187
"79","IO-all-DCM-20-180-00_bin-48","Heterotroph",209
"80","IO-all-DCM-20-180-00_bin-48","Mixotroph",92
"81","IO-all-DCM-20-180-00_bin-48","Phototroph",176
"82","IO-all-DCM-20-180-00_bin-49","Heterotroph",172
"83","IO-all-DCM-20-180-00_bin-49","Mixotroph",71
"84","IO-all-DCM-20-180-00_bin-49","Phototroph",163
"85","IO-all-DCM-20-180-00_bin-54","Heterotroph",446
"86","IO-all-DCM-20-180-00_bin-54","Mixotroph",255
"87","IO-all-DCM-20-180-00_bin-54","Phototroph",241
"88","IO-all-DCM-20-180-00_bin-57","Heterotroph",298
"89","IO-all-DCM-20-180-00_bin-57","Mixotroph",357
"90","IO-all-DCM-20-180-00_bin-57","Phototroph",502
"91","IO-all-DCM-20-180-00_bin-62","Heterotroph",277
"92","IO-all-DCM-20-180-00_bin-62","Mixotroph",332
"93","IO-all-DCM-20-180-00_bin-62","Phototroph",503
"94","IO-all-DCM-20-180-00_bin-66","Heterotroph",382
"95","IO-all-DCM-20-180-00_bin-66","Mixotroph",279
"96","IO-all-DCM-20-180-00_bin-66","Phototroph",320
"97","IO-all-DCM-20-180-00_bin-74","Heterotroph",252
"98","IO-all-DCM-20-180-00_bin-74","Mixotroph",125
"99","IO-all-DCM-20-180-00_bin-74","Phototroph",210
"100","IO-all-DCM-20-180-00_bin-84","Heterotroph",436
"101","IO-all-DCM-20-180-00_bin-84","Mixotroph",659
"102","IO-all-DCM-20-180-00_bin-84","Phototroph",712
"103","IO-all-DCM-20-180-00_bin-97","Heterotroph",255
"104","IO-all-DCM-20-180-00_bin-97","Mixotroph",149
"105","IO-all-DCM-20-180-00_bin-97","Phototroph",231
"106","IO-all-DCM-5-20-00_bin-11","Heterotroph",153
