old_mag_name	new_mag_name	cluster	counts	Assembly_group	unique	score	completeness	contamination	length	length_MBp	est_genome_size	num_contigs	Largest.contig	GC	N50	N75	L50	L75	Region	Subregion	Depth	Sizefrac	Region_COLOR	Depth_COLOR	Sizefrac_COLOR	classification	domain	phylum	classs	order	family	genus	species	representation
IO-all-DCM-0-8-5-00_bin-108	TOPAZ_IOD1_P004	250_1	1	IO-all-DCM-0-8-5-00		86.90441764	98.37	2.72	4432832	4.432832	4.506284436	353	112292	53.32	18571	10801	71	149	IO	all	DCM	0-8-5-00	#711518	#74a9cf	#f7fcb9	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10;s__SW10 sp002172625	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__SW10	s__SW10 sp002172625	unique
IO-all-DCM-0-8-5-00_bin-213	TOPAZ_IOD1_P028	388_2	3	IO-all-DCM-0-8-5-00		90.88278537	98.4	2.02	3593408	3.593408	3.651837398	39	288119	69.14	146410	87036	9	16	IO	all	DCM	0-8-5-00	#711518	#74a9cf	#f7fcb9	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp900098805	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp900098805	unique
IO-all-DCM-0-8-5-00_bin-228	TOPAZ_IOD1_P032	130_3	1	IO-all-DCM-0-8-5-00		94.51558718	93.37	0.18	4076475	4.076475	4.365936596	436	50399	57.45	12336	7414	105	211	IO	all	DCM	0-8-5-00	#711518	#74a9cf	#f7fcb9	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus;s__Roseibacillus sp002709395	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Roseibacillus	s__Roseibacillus sp002709395	unique
IO-all-DCM-0-8-5-00_bin-254	TOPAZ_IOD1_P038	57_0	1	IO-all-DCM-0-8-5-00	yes	94.3132231	94.05	0.39	4402917	4.402917	4.681464115	257	126471	54.53	26696	15105	51	107	IO	all	DCM	0-8-5-00	#711518	#74a9cf	#f7fcb9	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__Mariniblastus	s__	unique
IO-all-DCM-0-8-5-00_bin-308	TOPAZ_IOD1_P055	82_0	1	IO-all-DCM-0-8-5-00		93.45063178	99.17	1.61	4059884	4.059884	4.093863063	164	179742	51.49	45842	21165	26	58	IO	all	DCM	0-8-5-00	#711518	#74a9cf	#f7fcb9	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__UBA5691;s__UBA5691 sp002694885	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__UBA5691	s__UBA5691 sp002694885	NA
IO-all-DCM-0-8-5-00_bin-322	TOPAZ_IOD1_P061	176_2	2	IO-all-DCM-0-8-5-00		93.22876076	97.87	1.37	4436074	4.436074	4.53261878	249	163840	52.4	26153	14962	50	106	IO	all	DCM	0-8-5-00	#711518	#74a9cf	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae_A;g__UBA2009;s__UBA2009 sp002706025	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Saccharospirillaceae_A	g__UBA2009	s__UBA2009 sp002706025	NA
IO-all-DCM-0-8-5-00_bin-58	TOPAZ_IOD1_P072	416_3	1	IO-all-DCM-0-8-5-00		96.23369986	97.73	0.78	3658899	3.658899	3.743885194	96	149527	61.56	64180	38739	20	39	IO	all	DCM	0-8-5-00	#711518	#74a9cf	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_D;s__Pseudomonas_D pachastrellae	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_D	s__Pseudomonas_D pachastrellae	unique
IO-all-DCM-0-8-5-00_bin-74	TOPAZ_IOD1_P076	490_1	2	IO-all-DCM-0-8-5-00		89.79800116	96.95	1.92	4546148	4.546148	4.689167612	105	234877	66.69	78705	47616	18	36	IO	all	DCM	0-8-5-00	#711518	#74a9cf	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Allosediminivita;s__	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Allosediminivita	s__	unique
IO-all-DCM-0-8-5-00_bin-88	TOPAZ_IOD1_P083	643_0	1	IO-all-DCM-0-8-5-00	yes	81.45553437	90.46	2.21	2076992	2.076992	2.296033606	238	55943	34.11	12333	6081	52	112	IO	all	DCM	0-8-5-00	#711518	#74a9cf	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__GCA-2691085;s__	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__GCA-2691085	s__	unique
IO-all-DCM-180-2000-00_bin-1	TOPAZ_IOD4_P001	560_0	1	IO-all-DCM-180-2000-00	yes	92.64449948	95.26	0.95	999087	0.999087	1.048800126	78	43776	34.77	18578	10555	19	36	IO	all	DCM	0-8-5-00	#711518	#74a9cf	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__;s__	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Anaplasmataceae	g__	s__	unique
IO-all-DCM-180-2000-00_bin-13	TOPAZ_IOD4_P002	169_0	1	IO-all-DCM-180-2000-00		100.2803063	98.79	0.18	4358603	4.358603	4.411988055	122	189279	50.85	60341	29920	20	46	IO	all	DCM	0-8-5-00	#711518	#74a9cf	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	unique
