MAG	K00036	K00218	K00231	K00565	K00640	K01092	K01136	K01186	K01205	K01556	K01870	K01895	K02564	K03037	K03070	K03259	K04567	K07562	K11251	K11262	K13024	K01114	K01202	K01209	K01217	K13675
TOPAZ_IOS1_E045	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1
TOPAZ_MSD1_E003	1	-1	1	1	-1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	-1	1	1	1	1	1	1
TOPAZ_MSS1_E004	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1
TOPAZ_MSS1_E011	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	-1	1	-1	-1
TOPAZ_MSS1_E023	1	-1	-1	1	-1	1	1	1	1	1	1	-1	1	1	-1	1	-1	1	-1	1	1	1	1	1	1	1
TOPAZ_MSS1_E026	1	-1	-1	1	-1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	-1	1	1	1	1	1	1
TOPAZ_MSS1_E028	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	-1	-1
TOPAZ_NAS1_E023	1	-1	1	1	-1	1	1	1	1	1	1	-1	1	1	-1	1	1	-1	1	-1	1	1	1	1	1	1
TOPAZ_NAS1_E036	1	-1	1	1	-1	-1	1	1	1	1	1	-1	1	-1	-1	1	1	-1	1	1	1	1	1	1	1	1
TOPAZ_NAX1_E011	-1	-1	1	1	-1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	-1	1	1	1	1	1	1
TOPAZ_NPS1_E005	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	-1	-1	-1	-1
TOPAZ_NPS1_E025	1	-1	1	1	-1	-1	1	1	1	1	1	-1	1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1
TOPAZ_SAD1_E033	1	-1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	-1	1	1	1	1	1	1
TOPAZ_SAS1_E003	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	-1	-1
TOPAZ_SAS1_E034	1	1	1	-1	1	1	-1	-1	1	-1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	-1	-1	-1
TOPAZ_SAS1_E035	-1	-1	1	1	-1	1	1	1	1	1	1	-1	1	-1	-1	1	1	1	1	-1	1	1	1	1	1	1
TOPAZ_SAS1_E036	1	1	1	-1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1
TOPAZ_SPD1_E019	-1	-1	1	1	-1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	-1	1	1	1	1	1	1
TOPAZ_SPS1_E018	1	1	1	1	1	1	-1	-1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1
TOPAZ_SPS1_E030	-1	-1	-1	1	-1	-1	1	1	1	1	1	-1	1	-1	-1	1	-1	1	1	-1	1	1	1	1	1	1
TOPAZ_SPS1_E054	1	1	1	1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	-1	-1	-1	-1
TOPAZ_SPS1_E066	1	1	1	-1	1	1	-1	1	-1	-1	1	1	-1	1	1	1	1	1	1	1	-1	1	-1	-1	-1	-1
TOPAZ_SPS1_E070	-1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	-1	1	1	1	1	1	1	1
TOPAZ_SPS1_E074	-1	-1	-1	1	-1	-1	1	1	1	1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	1	1	1	1	1
