,eukulele_taxonomy,mmseqs_taxonomy,total_length,total_num_contigs,total_length_5kb,total_length_10kb,total_length_50kb,GC_percent,N50,L50,num_predicted_proteins,num_proteins_annotated_pfam,proportion_proteins_annoated_pfam,num_unique_pfam,num_proteins_annotated_kegg,proportion_proteins_annoated_kegg,num_unique_kegg,busco_eukaryota_odb10_completeness,busco_eukaryota_odb10_contamination,eukcc_completeness,eukcc_contamination,eukcc_lineage,ocean_region,depth,size_fraction
TOPAZ_IOD1_E001,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-,Eukaryota;-;-;-;Cryptophyceae;-;Pyrenomonadales;Geminigeraceae;Geminigera cryophila,37074820,8377,15520088,2726308,0,58.27,4531,2799,18210,8092,44.44,2035,2930,16.09,2922,57.25,2.75,69.57,8.7,Eukaryota_Fungi_Ascomycota,IO,DCM,0.8-5
TOPAZ_IOD1_E002,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,2801896,851,188909,0,0,44.45,3208,352,1749,958,54.77,338,357,20.41,842,13.73,0.0,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E003,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Prymnesiales;Prymnesiaceae;Chrysochromulina rotalis,30740252,7112,12314358,2329232,0,62.86,4424,2372,19545,8541,43.7,1738,2596,13.28,2850,49.41,0.39,52.08,4.17,Eukaryota_Fungi_Microsporidia,IO,DCM,0.8-5
TOPAZ_IOD1_E004,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Prymnesiales;Chrysochromulinaceae;Chrysochromulina rotalis,39191221,9102,15279501,2168595,0,62.08,4404,3132,19350,8805,45.5,1741,2660,13.75,2859,50.98,0.39,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E005,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas sp.,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Mamiellaceae;-,17055374,1415,15579731,12443612,1136508,66.2,17298,291,9083,5751,63.32,2542,3152,34.7,3127,74.9,0.39,94.74,0.0,Eukaryota,IO,DCM,0.8-5
TOPAZ_IOD1_E006,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,6216056,1828,646516,10967,0,58.76,3307,738,3137,1500,47.82,343,406,12.94,956,12.16,0.0,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E007,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;-;-;Cryptophyceae;-;Pyrenomonadales;-;-,7798024,2202,1200476,75211,0,49.71,3480,859,3755,1913,50.95,550,655,17.44,1181,21.18,0.39,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E008,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,25519293,5508,11988952,2613370,0,33.14,4794,1784,12527,6183,49.36,1941,2530,20.2,2891,65.49,1.18,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E009,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;core chlorophytes;Chlorophyta;-;-;-;-;-,11967780,2657,5212218,921112,0,65.22,4635,897,6460,4134,63.99,1978,2340,36.22,2677,56.47,0.39,63.16,0.0,Eukaryota,IO,DCM,0.8-5
TOPAZ_IOD1_E010,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,17808078,4387,5642691,591598,0,51.4,4041,1572,9379,4253,45.35,1190,1493,15.92,2139,38.04,0.78,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E011,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,33529673,7262,15793518,2911227,0,40.97,4810,2394,18623,8179,43.92,1793,2656,14.26,2888,60.39,1.96,64.58,12.5,Eukaryota_Fungi_Microsporidia,IO,DCM,0.8-5
TOPAZ_IOD1_E012,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Bathycoccus prasinos,12257231,1914,8691266,3943275,0,48.11,7330,513,6484,4304,66.38,2101,2517,38.82,2701,68.63,0.39,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E013,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;core chlorophytes;Chlorophyta;-;-;-;-;-,9161534,2199,3144354,507692,0,67.46,4207,769,4645,3013,64.87,1440,1650,35.52,2146,46.67,0.39,46.58,0.85,Eukaryota_Viridiplantae,IO,DCM,0.8-5
