user_genome,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",aa_percent,translation_table,red_value,warnings
IO-all-SRF-0-8-5-00-bin-516,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis,GCF_002901845.1,95.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis,97.67,0.94,GCF_002901845.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis,97.67,0.94,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_002902575.1, s__Staphylococcus petrasii_A, 95.0, 81.45, 0.7; GCF_002902565.1, s__Staphylococcus petrasii, 95.0, 81.43, 0.71; GCF_001224225.1, s__Staphylococcus haemolyticus_A, 95.0, 81.22, 0.7; GCF_002901805.1, s__Staphylococcus haemolyticus, 95.0, 81.12, 0.68; GCF_003035445.1, s__Staphylococcus devriesei_A, 95.0, 80.97, 0.67; GCF_002902625.1, s__Staphylococcus devriesei, 95.0, 80.79, 0.66; GCF_002442915.1, s__Staphylococcus pasteuri, 95.0, 80.21, 0.55; GCF_002902725.1, s__Staphylococcus caprae, 95.0, 79.71, 0.51; GCF_002901765.1, s__Staphylococcus warneri, 95.0, 79.7, 0.52; GCF_002087975.1, s__Staphylococcus epidermidis, 95.0, 79.63, 0.53; GCF_002902325.1, s__Staphylococcus capitis, 95.0, 79.54, 0.54; GCF_002901705.1, s__Staphylococcus lugdunensis, 95.0, 79.47, 0.48; GCF_003041335.1, s__Staphylococcus warneri_A, 95.0, 79.44, 0.52; GCF_000236925.1, s__Staphylococcus argenteus, 95.0, 79.41, 0.46; GCF_002902235.1, s__Staphylococcus cohnii_A, 95.0, 79.19, 0.4; GCF_002902405.1, s__Staphylococcus schweitzeri, 95.0, 79.19, 0.46; GCF_001027105.1, s__Staphylococcus aureus, 95.0, 79.08, 0.49; GCF_002902085.1, s__Staphylococcus simiae, 95.0, 79.08, 0.48; GCF_002902345.1, s__Staphylococcus arlettae, 95.0, 78.96, 0.4; GCF_001074355.1, s__Staphylococcus saprophyticus_A, 95.0, 78.89, 0.37; GCF_003019255.1, s__Staphylococcus kloosii, 95.0, 78.87, 0.37; GCF_000875895.1, s__Staphylococcus gallinarum, 95.0, 78.84, 0.39; GCF_002902365.1, s__Staphylococcus cohnii, 95.0, 78.64, 0.4; GCF_002902605.1, s__Staphylococcus carnosus, 95.0, 78.62, 0.31; GCF_000010125.1, s__Staphylococcus saprophyticus, 95.0, 78.61, 0.38; GCF_001006765.1, s__Staphylococcus succinus, 95.0, 78.59, 0.4; GCF_000298075.1, s__Staphylococcus massiliensis, 95.0, 78.47, 0.27; GCF_900097965.1, s__Staphylococcus saprophyticus_B, 95.0, 78.46, 0.39; GCF_003043105.1, s__Staphylococcus xylosus_C, 95.0, 78.44, 0.36; GCF_001618885.1, s__Staphylococcus condimenti, 95.0, 78.43, 0.32; GCF_002902285.1, s__Staphylococcus simulans, 95.0, 78.39, 0.33; GCF_002902745.1, s__Staphylococcus nepalensis, 95.0, 78.33, 0.36; GCF_002836835.1, s__Staphylococcus xylosus_A, 95.0, 78.33, 0.38; GCF_000338275.1, s__Staphylococcus xylosus_B, 95.0, 78.31, 0.4; GCF_003043455.1, s__Staphylococcus simulans_A, 95.0, 78.29, 0.31; GCF_002994445.1, s__Staphylococcus simulans_B, 95.0, 78.29, 0.3; GCF_001432245.1, s__Staphylococcus equorum_B, 95.0, 78.27, 0.37; GCF_001500315.1, s__Staphylococcus auricularis, 95.0, 78.21, 0.29; GCF_001747895.1, s__Staphylococcus equorum_A, 95.0, 78.2, 0.39; GCF_002614725.1, s__Staphylococcus edaphicus, 95.0, 78.18, 0.39; GCF_002901945.1, s__Staphylococcus chromogenes, 95.0, 78.17, 0.19; GCF_002732165.1, s__Staphylococcus xylosus, 95.0, 78.15, 0.37; GCF_001431205.1, s__Staphylococcus sp001431205, 95.0, 78.15, 0.37; GCF_900186985.1, s__Staphylococcus piscifermentans, 95.0, 78.07, 0.33; GCF_002901865.1, s__Staphylococcus agnetis, 95.0, 77.8, 0.26; GCF_900183575.1, s__Staphylococcus intermedius_A, 95.0, 77.79, 0.16; GCF_000816085.1, s__Staphylococcus hyicus, 95.0, 77.72, 0.16",89.33,11,,
NPO-all-DCM-0-8-5-00-bin-206,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Salinicoccaceae;g__Salinicoccus;s__Salinicoccus roseus,GCF_000819905.1,95.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Salinicoccaceae;g__Salinicoccus;s__Salinicoccus roseus,96.15,0.91,GCF_000819905.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Salinicoccaceae;g__Salinicoccus;s__Salinicoccus roseus,96.15,0.91,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Salinicoccaceae;g__Salinicoccus;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_000712035.1, s__Salinicoccus luteus, 95.0, 88.77, 0.9; GCF_000986795.1, s__Salinicoccus sediminis, 95.0, 78.78, 0.36; GCF_900114445.1, s__Salinicoccus halodurans, 95.0, 78.66, 0.29; GCF_000330705.1, s__Salinicoccus carnicancri, 95.0, 78.36, 0.3; GCF_900220995.1, s__Salinicoccus kekensis, 95.0, 77.25, 0.19",98.17,11,,
NPO-all-MES-0-8-5-00-bin-159,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Salinicoccaceae;g__Salinicoccus;s__Salinicoccus roseus,GCF_000819905.1,95.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Salinicoccaceae;g__Salinicoccus;s__Salinicoccus roseus,96.46,0.94,GCF_000819905.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Salinicoccaceae;g__Salinicoccus;s__Salinicoccus roseus,96.46,0.94,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Salinicoccaceae;g__Salinicoccus;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_000712035.1, s__Salinicoccus luteus, 95.0, 88.83, 0.92; GCF_900114445.1, s__Salinicoccus halodurans, 95.0, 78.39, 0.31; GCF_000986795.1, s__Salinicoccus sediminis, 95.0, 78.22, 0.36; GCF_000330705.1, s__Salinicoccus carnicancri, 95.0, 78.1, 0.31; GCF_900220995.1, s__Salinicoccus kekensis, 95.0, 76.95, 0.23",84.48,11,,
NAO-all-DCM-0-8-5-00-bin-246,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002701375,GCA_002701375.1,95.0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002701375,99.57,0.85,GCA_002701375.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002701375,99.57,0.85,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_000195975.1, s__Synechococcus_C sp000195975, 95.0, 77.48, 0.22; GCF_000737575.1, s__Synechococcus_C sp000737575, 95.0, 77.37, 0.22; GCA_002700765.1, s__Synechococcus_C sp002700765, 95.0, 77.3, 0.22; GCA_002724845.1, s__Synechococcus_C sp002724845, 95.0, 77.3, 0.25; GCF_000515235.1, s__Synechococcus_C sp000515235, 95.0, 77.26, 0.2; GCF_000737535.1, s__Synechococcus_C sp000737535, 95.0, 77.24, 0.23; GCF_000161795.2, s__Synechococcus_C sp000161795, 95.0, 77.08, 0.2",80.44,11,,
NAO-all-SRF-0-8-5-00-bin-236,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002701375,GCA_002701375.1,95.0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002701375,99.53,0.84,GCA_002701375.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002701375,99.53,0.84,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_000195975.1, s__Synechococcus_C sp000195975, 95.0, 77.62, 0.21; GCA_002724845.1, s__Synechococcus_C sp002724845, 95.0, 77.39, 0.26; GCF_000737575.1, s__Synechococcus_C sp000737575, 95.0, 77.34, 0.22; GCF_000012625.1, s__Synechococcus_C sp000012625, 95.0, 77.2, 0.2; GCF_000161795.2, s__Synechococcus_C sp000161795, 95.0, 77.19, 0.21; GCF_000737535.1, s__Synechococcus_C sp000737535, 95.0, 77.17, 0.22; GCA_002700765.1, s__Synechococcus_C sp002700765, 95.0, 77.06, 0.22",73.08,11,,
MS-all-DCM-0-8-5-00-bin-678,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002700765,GCA_002700765.1,95.0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002700765,99.1,0.73,GCA_002700765.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002700765,99.1,0.73,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_000737575.1, s__Synechococcus_C sp000737575, 95.0, 78.99, 0.46; GCF_000195975.1, s__Synechococcus_C sp000195975, 95.0, 78.84, 0.45; GCF_000515235.1, s__Synechococcus_C sp000515235, 95.0, 78.65, 0.45; GCA_002724845.1, s__Synechococcus_C sp002724845, 95.0, 78.61, 0.46; GCF_000012625.1, s__Synechococcus_C sp000012625, 95.0, 78.59, 0.4; GCF_000737595.1, s__Synechococcus_C sp000737595, 95.0, 78.56, 0.4; GCA_002691345.1, s__Synechococcus_C sp002691345, 95.0, 78.53, 0.34; GCF_000161795.2, s__Synechococcus_C sp000161795, 95.0, 78.46, 0.35; GCA_003209165.1, s__Synechococcus_C sp003209165, 95.0, 78.3, 0.27; GCF_000153285.1, s__Synechococcus_C sp000153285, 95.0, 78.27, 0.26; GCF_000737535.1, s__Synechococcus_C sp000737535, 95.0, 78.26, 0.46; GCA_003211535.1, s__Synechococcus_C sp003211535, 95.0, 78.21, 0.3; GCA_002170825.1, s__Synechococcus_C sp002170825, 95.0, 78.04, 0.37; GCF_000153065.1, s__Synechococcus_C sp000153065, 95.0, 78.01, 0.31; GCF_000063505.1, s__Synechococcus_C sp000063505, 95.0, 77.9, 0.27; GCF_000153825.1, s__Synechococcus_C sp000153825, 95.0, 77.81, 0.28; GCA_003211235.1, s__Synechococcus_C sp003211235, 95.0, 77.73, 0.24; GCA_002172935.1, s__Synechococcus_C sp002172935, 95.0, 77.57, 0.24; GCA_002684175.1, s__Synechococcus_C sp002684175, 95.0, 77.46, 0.18; GCA_003210795.1, s__Synechococcus_C sp003210795, 95.0, 77.36, 0.25; GCF_001631935.1, s__Synechococcus_C sp001631935, 95.0, 77.28, 0.24; GCF_001632165.1, s__Synechococcus_C sp001632165, 95.0, 76.99, 0.18; GCA_002690325.1, s__Synechococcus_C sp002690325, 95.0, 76.93, 0.22",84.5,11,,
MS-all-DCM-0-8-5-00-bin-277,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp000737575,GCF_000737575.1,95.0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp000737575,98.9,0.98,GCF_000737575.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp000737575,98.9,0.98,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_000195975.1, s__Synechococcus_C sp000195975, 95.0, 80.4, 0.64; GCA_002724845.1, s__Synechococcus_C sp002724845, 95.0, 80.05, 0.57; GCF_000737595.1, s__Synechococcus_C sp000737595, 95.0, 79.84, 0.56; GCF_000012625.1, s__Synechococcus_C sp000012625, 95.0, 79.82, 0.6; GCF_000161795.2, s__Synechococcus_C sp000161795, 95.0, 79.8, 0.54; GCA_002170825.1, s__Synechococcus_C sp002170825, 95.0, 79.48, 0.5; GCA_003209165.1, s__Synechococcus_C sp003209165, 95.0, 79.36, 0.4; GCA_003211535.1, s__Synechococcus_C sp003211535, 95.0, 79.28, 0.42; GCA_002700765.1, s__Synechococcus_C sp002700765, 95.0, 79.1, 0.4; GCA_002691345.1, s__Synechococcus_C sp002691345, 95.0, 79.03, 0.41; GCF_000515235.1, s__Synechococcus_C sp000515235, 95.0, 79.03, 0.52; GCF_000737535.1, s__Synechococcus_C sp000737535, 95.0, 79.01, 0.56; GCF_000153065.1, s__Synechococcus_C sp000153065, 95.0, 78.98, 0.52; GCF_000063505.1, s__Synechococcus_C sp000063505, 95.0, 78.8, 0.39; GCA_003211235.1, s__Synechococcus_C sp003211235, 95.0, 78.76, 0.32; GCA_003210795.1, s__Synechococcus_C sp003210795, 95.0, 78.63, 0.34; GCA_003210735.1, s__Synechococcus_C sp003210735, 95.0, 78.63, 0.35; GCF_000153825.1, s__Synechococcus_C sp000153825, 95.0, 78.31, 0.4; GCA_002172935.1, s__Synechococcus_C sp002172935, 95.0, 78.28, 0.3; GCF_000153285.1, s__Synechococcus_C sp000153285, 95.0, 78.26, 0.38; GCA_002690325.1, s__Synechococcus_C sp002690325, 95.0, 78.16, 0.33; GCA_002693285.1, s__Synechococcus_C sp002693285, 95.0, 78.14, 0.28; GCA_002684175.1, s__Synechococcus_C sp002684175, 95.0, 77.93, 0.31; GCA_003211515.1, s__Synechococcus_C sp003211515, 95.0, 77.91, 0.24; GCA_003209155.1, s__Synechococcus_C sp003209155, 95.0, 77.8, 0.24; GCF_001631935.1, s__Synechococcus_C sp001631935, 95.0, 77.79, 0.33; GCA_002698505.1, s__Synechococcus_C sp002698505, 95.0, 77.78, 0.29; GCF_000012505.1, s__Synechococcus_C sp000012505, 95.0, 77.55, 0.26; GCA_003211205.1, s__Synechococcus_C sp003211205, 95.0, 77.49, 0.22; GCF_000153805.1, s__Synechococcus_C sp000153805, 95.0, 77.44, 0.27; GCF_001632165.1, s__Synechococcus_C sp001632165, 95.0, 77.42, 0.31; GCA_002701375.1, s__Synechococcus_C sp002701375, 95.0, 77.42, 0.26",85.99,11,,Genome has more than 12.5% of markers with multiple hits
NPO-all-SRF-0-8-5-00-bin-333,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Crocosphaera;s__Crocosphaera watsonii,GCF_000167195.1,95.0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Crocosphaera;s__Crocosphaera watsonii,98.99,0.91,GCF_000167195.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Crocosphaera;s__Crocosphaera watsonii,98.99,0.91,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Crocosphaera;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_000017845.1, s__Crocosphaera sp000017845, 95.0, 81.56, 0.66; GCF_003013815.1, s__Crocosphaera sp003013815, 95.0, 81.49, 0.64; GCF_000169335.1, s__Crocosphaera sp000169335, 95.0, 81.38, 0.64; GCF_002172675.1, s__Crocosphaera sp002172675, 95.0, 81.38, 0.64",92.84,11,,
IO-all-SRF-0-8-5-00-bin-403,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Crocosphaera;s__Crocosphaera watsonii,GCF_000167195.1,95.0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Crocosphaera;s__Crocosphaera watsonii,98.59,0.87,GCF_000167195.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Crocosphaera;s__Crocosphaera watsonii,98.59,0.87,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Crocosphaera;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_000017845.1, s__Crocosphaera sp000017845, 95.0, 81.62, 0.66; GCF_003013815.1, s__Crocosphaera sp003013815, 95.0, 81.55, 0.63; GCF_002172675.1, s__Crocosphaera sp002172675, 95.0, 81.49, 0.63; GCF_000169335.1, s__Crocosphaera sp000169335, 95.0, 81.42, 0.64",96.03,11,,
NPO-all-SRF-5-20-00-bin-26,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,GCF_000014265.1,95.0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,99.11,0.96,GCF_000014265.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,99.11,0.96,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__;s__,ANI/Placement,topological placement and ANI have congruent species assignments,,92.84,11,,
